e,nn6,nn8,nn10,nn12,nn14,nn16,nn18
2,2.94524,2.634,2.44796,2.2685,1.694,0.217,-2.721
2.1,3.50075,3.5,3.79439,4.35268,4.969,4.965,3.915
2.2,4.019,4.329,4.99081,6.08533,7.472,8.674,8.861
2.3,4.582,5.06,6.04811,7.46134,9.186,10.904,12.356
2.4,5.036,5.75,6.957,8.585,10.431,12.371,13.978
2.5,5.533,6.383,7.748,9.5,11.404,13.361,15.453
2.6,5.929,6.935,8.444,10.278,12.222,14.145,16.279
2.7,6.303,7.475,9.07,10.922,12.856,14.83,16.85
2.8,6.717,7.932,9.631,11.487,13.448,15.488,17.492
2.9,7.053,8.372,10.128,12.027,14.001,16.063,17.956
3,7.413,8.791,10.559,12.553,14.516,16.5,18.3
3.1,7.71,9.17,10.974,12.928,14.79,16.967,19
3.2,7.99,9.522,11.377,13.331,15.36,17.011,19.415
3.3,8.309,9.863,11.708,13.648,15.528,17.524,19.752
3.4,8.556,10.152,12.043,13.997,15.907,18.142,
3.5,8.825,10.441,12.308,14.294,16.356,18.245,
3.6,9.063,10.711,12.626,14.549,16.651,18.356,
3.7,9.278,10.977,12.857,14.813,16.84,18.715,
3.8,9.533,11.231,13.164,15.272,17.105,18.871,
3.9,9.726,11.487,13.344,15.434,17.524,19.356,
4,9.949,11.668,13.634,15.524,17.476,19.83,
4.1,10.132,11.881,13.782,15.835,18.023,19.752,
4.2,10.309,12.073,14.062,15.989,18.508,20.193,
4.3,10.518,12.281,,,,,
4.4,10.68,12.445,,,,,
4.5,10.861,12.663,,,,,
4.6,11.029,12.804,,,,,
4.7,11.18,13.015,,,,,
4.8,11.329,13.172,,,,,
4.9,11.441,13.361,,,,,
5,11.617,13.424,,,,,
5.1,11.769,,,,,,
5.2,11.884,,,,,,
5.3,12.014,,,,,,
5.4,12.13,,,,,,
5.5,12.236,,,,,,
5.6,12.412,,,,,,
5.7,12.492,,,,,,
5.8,12.7,,,,,,
5.9,12.747,,,,,,
6,12.827,,,,,,
6.1,12.945,,,,,,
6.2,13.059,,,,,,
6.3,13.191,,,,,,
6.4,13.298,,,,,,
6.5,13.332,,,,,,
6.6,13.461,,,,,,
6.7,13.592,,,,,,
6.8,13.554,,,,,,
6.9,13.769,,,,,,
7,13.848,,,,,,
7.1,13.877,,,,,,
7.2,14.043,,,,,,
7.3,14.105,,,,,,
7.4,14.159,,,,,,
7.5,14.275,,,,,,
7.6,14.358,,,,,,
7.7,14.367,,,,,,
7.8,14.482,,,,,,
7.9,14.618,,,,,,
8,14.676,,,,,,
8.1,14.651,,,,,,
8.2,14.808,,,,,,
8.3,14.721,,,,,,
8.4,14.98,,,,,,
8.5,14.945,,,,,,
8.6,15.055,,,,,,
8.7,15.209,,,,,,
8.8,15.093,,,,,,
8.9,15.356,,,,,,
9,15.303,,,,,,
9.1,15.385,,,,,,
9.2,15.423,,,,,,
9.3,15.465,,,,,,
